Entity Type,License Number,Sidewalk Cafe Type,Lic Area Sq Ft,Entity Name,Camis Trade Name,Address Street Name,Street Address,Address Location,Address Zip Code,Camis Phone Number,Location 1
SIDEWALK CAFE,293907,Unenclosed,611,DMF GRAMERCY ENTERPRISES INC,PETE'S TAVERN       S/C #111,EAST   18 STREET,129 EAST   18 STREET,,10003,2124737676,"129 18 STREET
NEW YORK, NY 10003
(40.736444345672204, -73.98686092577286)"
SIDEWALK CAFE,571720,Enclosed,435,1616 SECOND AVENUE RESTAURANT INC,DORRIAN'S RED HAND  E/S/C #217,2 AVENUE,1616 2 AVENUE,,10028,2127726660,"1616 2 AVENUE
NEW YORK, NY 10028
(40.77643245813948, -73.95277678574939)"
SIDEWALK CAFE,578810,Enclosed,407,CAFFE ISLE OF CAPRI INC,,3 AVENUE,1028 3 AVENUE,,10065,2127581828,"1028 3 AVENUE
NEW YORK, NY 10065
(40.76269981075205, -73.96573601619161)"
SIDEWALK CAFE,623018,Enclosed,479,P J COFFEE SHOP INC,,CLARK STREET,80 CLARK STREET,,11201,7188555484,"80 CLARK STREET
BROOKLYN, NY 11201
(40.697425853420235, -73.99304094634415)"
SIDEWALK CAFE,629616,Enclosed,366,ZONOR REST CORP,,WEST    4 STREET,225 WEST    4 STREET,,10014,2122436722,"225 4 STREET
NEW YORK, NY 10014
(40.73401546913192, -74.0028671367192)"
SIDEWALK CAFE,670525,Unenclosed,752,CALIENTE CAB REST. CO INC,CALIENTE CAB CO,7 AVENUE SOUTH,61 7 AVENUE SOUTH,,10014,2122438517,"61 7 AVENUE
NEW YORK, NY 10014
(40.7316615068668, -74.00388110812699)"
SIDEWALK CAFE,693313,Enclosed,129,SANGE RESTAURANT INC,TIO PEPE            S/C #215,WEST    4 STREET,168 WEST    4 STREET,,10014,2126755097,"168 4 STREET
NEW YORK, NY 10014
(40.73210487531526, -74.00144809397511)"
SIDEWALK CAFE,695954,Enclosed,416,269 COLUMBUS REST. CORP.,THE CITY GRILL,COLUMBUS AVENUE,269 COLUMBUS AVENUE,,10023,2123970666,"269 COLUMBUS AVENUE
NEW YORK, NY 10023
(40.777705412080245, -73.97853705123687)"
SIDEWALK CAFE,697987,Enclosed,429,MIMIS REST CORP,E/S/C #255,2 AVENUE,984 2 AVENUE,,10022,2126884692,"984 2 AVENUE
NEW YORK, NY 10022
(40.756233685361394, -73.96752566702992)"
SIDEWALK CAFE,698346,Enclosed,260,ROLL-N-ROASTER CORP.,,EMMONS AVENUE,2901 EMMONS AVENUE,,11235,7187695831,"2901 EMMONS AVENUE
BROOKLYN, NY 11235
(40.58395122457237, -73.93980406423125)"
SIDEWALK CAFE,699252,Enclosed,170,NECTAR RESTAURANT CORP,,MADISON AVENUE,1090 MADISON AVENUE,,10028,2127720916,"1090 MADISON AVENUE
NY, NY 10028
(40.77826959973669, -73.96074547206369)"
SIDEWALK CAFE,733469,Enclosed,500,STAGE DELICATESSEN & RESTAURANT INC.,E/S/C #294,7 AVENUE,832 7 AVENUE,832-834 7 AVE,10019,2122457850,"832 7 AVENUE
NEW YORK, NY 10019
(40.76338057629478, -73.98165429371588)"
SIDEWALK CAFE,735569,Enclosed,548,INDIA FOODS INTERNATIONAL INC,INDIAN CAFE,BROADWAY,2791 BROADWAY,,10025,2127499200,"2791 BROADWAY
NEW YORK, NY 10025
(40.80265862752833, -73.96783838281848)"
SIDEWALK CAFE,737570,Enclosed,201,352 EAST 86TH STREET INC.,GRACIE'S CORNER,EAST   86 STREET,352 EAST   86 STREET,,10028,2127378505,"352 86 STREET
NEW YORK, NY 10028
(40.77732116023205, -73.95049287258203)"
SIDEWALK CAFE,738544,Enclosed,298,320 COLUMBUS AVE INC,MUGHLAI INDIAN CUISINE,COLUMBUS AVENUE,320 COLUMBUS AVENUE,,10023,2127247073,"320 COLUMBUS AVENUE
NEW YORK, NY 10023
(40.77944518693761, -73.97731029070872)"
SIDEWALK CAFE,760685,Enclosed,240,603 SECOND AVE CORP,BENJAMIN,2 AVENUE,603 2 AVENUE,,10016,2128890750,"603 2 AVENUE
NEW YORK, NY 10016
(40.744227736270204, -73.9762850635953)"
SIDEWALK CAFE,761576,Enclosed,422,FORTUNATO BROS.CAFE & BAKERY CORP,,MANHATTAN AVENUE,289 MANHATTAN AVENUE,E/S/C #357,11211,7183872281,"289 MANHATTAN AVENUE
BROOKLYN, NY 11211
(40.71365115947321, -73.94597281334283)"
SIDEWALK CAFE,762511,Unenclosed,162,LU-ANN BAKERY SHOP INC,BRUNO BAKERY        S/C #362,LA GUARDIA PLACE,506 LA GUARDIA PLACE,,10012,2129825894,"506 LA GUARDIA PLACE
NEW YORK, NY 10012
(40.727626251609365, -73.99933468720627)"
SIDEWALK CAFE,768933,Unenclosed,148,CAFFE DANTE INC,,MACDOUGAL STREET,81 MACDOUGAL STREET,,10012,2129825275,"81 MACDOUGAL STREET
NEW YORK, NY 10012
(40.72885959730405, -74.001494103853)"
SIDEWALK CAFE,769760,Enclosed,422,FIRST 69TH ST REALTY CORP,WESTSIDE RESTAURANT E/S/C #417,BROADWAY,2020 BROADWAY,,10023,2127244000,"2020 BROADWAY
NEW YORK, NY 10023
(40.77639648525826, -73.98200475170165)"
SIDEWALK CAFE,769952,Unenclosed,728,"567 HUDSON STREET, INC.",WHITE HORSE TAVERN,HUDSON STREET,567 HUDSON STREET,,10014,2129893956,"567 HUDSON STREET
NEW YORK, NY 10014
(40.73582761714791, -74.00599264107973)"
SIDEWALK CAFE,782187,Enclosed,227,MEXICO LINDO RESTAURANT INC,MEXICO LINDO        E/S/C #431,2 AVENUE,459 2 AVENUE,,10010,2126793665,"459 2 AVENUE
NEW YORK, NY 10010
(40.73966817358166, -73.97957658222253)"
SIDEWALK CAFE,782318,Unenclosed,43,"CAVALLACCI, FABRIZIO",CAFE REGGIO,MACDOUGAL STREET,119 MACDOUGAL STREET,119-123 MACDOUGAL ST,10012,2124759557,"119 MACDOUGAL STREET
NEW YORK, NY 10012
(40.73022220068271, -74.00033182492402)"
SIDEWALK CAFE,786740,Unenclosed,121,CORNELIA STREET CAFE INC,CORNELIA STREET CAFE  S/C #480,CORNELIA STREET,29 CORNELIA STREET,,10014,2129899319,"29 CORNELIA STREET
NEW YORK, NY 10014
(40.73133145837005, -74.00236540244504)"
SIDEWALK CAFE,787968,Unenclosed,144,A.C.A. 110 MULBERRY INC.,LA BELLA FERRARA COFFEE SHOP,MULBERRY STREET,110 MULBERRY STREET,,10013,2129661488,"110 MULBERRY STREET
NEW YORK, NY 10013
(40.71752686522029, -73.99830946009286)"
SIDEWALK CAFE,789922,Enclosed,420,345 COURT ST CORP,MARCO POLO REST     E/S/C #508,COURT STREET,345 COURT STREET,,11231,7188525015,"345 COURT STREET
BROOKLYN, NY 11231
(40.68236117903273, -73.99586560966354)"
SIDEWALK CAFE,804523,Unenclosed,535,TWO & EIGHT GOURMET LTD.,DALLAS BBQ,SECOND AVENUE,132 SECOND AVENUE,,10003,2125292563,"132 SECOND AVENUE
MANHATTAN, NY 10003
(40.72869644482421, -73.98758054828335)"
SIDEWALK CAFE,804849,Enclosed,375,THE BORDON AVE REST. INC,WATERFRONT CRABHOUSEE/S/C #530,BORDEN AVENUE,40577 BORDEN AVENUE,,11101,7187294862,"40577 BORDEN AVENUE
LIC, NY 11101
(40.74570244980828, -73.93866902925225)"
SIDEWALK CAFE,805433,Unenclosed,226,TORTILLA FLATS INC,,WASHINGTON STREET,767 WASHINGTON STREET,,10014,2122431053,"767 WASHINGTON STREET
NEW YORK, NY 10014
(40.73745584138959, -74.00821998885579)"
SIDEWALK CAFE,806050,Unenclosed,283,316 RESTAURANT CORP,PAPPARDELLA,COLUMBUS AVENUE,316 COLUMBUS AVENUE,,10023,2127247073,"316 COLUMBUS AVENUE
NEW YORK, NY 10023
(40.77928521534567, -73.97746649505467)"
SIDEWALK CAFE,807555,Unenclosed,46,DYNAMIC MUSIC CORP,,MACDOUGAL STREET,117 MACDOUGAL STREET,,10012,2122547533,"117 MACDOUGAL STREET
NEW YORK, NY 10012
(40.73009039396965, -74.00039588720085)"
SIDEWALK CAFE,811193,Unenclosed,63,MEZZALUNA ASSOCIATES,,3 AVENUE,1295 3 AVENUE,,10021,2125359600,"1295 3 AVENUE
NEW YORK, NY 10021
(40.77124337003039, -73.9595127077489)"
SIDEWALK CAFE,811344,Unenclosed,251,SEVEN A CAFE INC,,AVENUE A,109 AVENUE A,,10009,2126736583,"109 AVENUE
NY, NY 10009
(40.72664935898081, -73.97911148500697)"
SIDEWALK CAFE,812902,Unenclosed,453,RE SPEC CORP,JACKSON HOLE        S/C #594,COLUMBUS AVENUE,517 COLUMBUS AVENUE,,10024,2123625177,"517 COLUMBUS AVENUE
NEW YORK, NY 10024
(40.78577087491027, -73.97265268041868)"
SIDEWALK CAFE,814506,Unenclosed,356,CROISSANT CONSORTIUM LIMITED,THE HUNGARIAN PASTRY SHOP,AMSTERDAM AVENUE,1030 AMSTERDAM AVENUE,,10025,2128664230,"1030 AMSTERDAM AVENUE
NEW YORK, NY 10025
(40.80339362533206, -73.96359374086383)"
SIDEWALK CAFE,819452,Unenclosed,252,FRIEND OF A FARMER CORP,,IRVING PLACE,77 IRVING PLACE,,10003,2124772188,"77 IRVING PLACE
NEW YORK, NY 10003
(40.73696665103033, -73.98664760572923)"
SIDEWALK CAFE,832521,Enclosed,307,J N P K INC,ARMONDO'S RESTAURANTE/S/C #672,37 AVENUE,74-27 37 AVENUE,,11372,7188980113,"74 27 37 AVENUE
JACKSON HEIGHTS, NY 11372
(40.75163073936716, -73.88361254528269)"
SIDEWALK CAFE,832737,Unenclosed,175,NILO INC.& VIOLA CONSULTING LLC,MEZZOGIORNO ASSOC.,SPRING STREET,195 SPRING STREET,,10012,9146326036,"195 SPRING STREET
NEW YORK, NY 10012
(40.725162109249084, -74.00322875159316)"
SIDEWALK CAFE,832749,Enclosed,191,VRISA RESTAURANT INC,MORNING STAR REST   E/SC 674,WEST   57 STREET,401 WEST   57 STREET,A.K.A. 879  9TH AVENUE,10019,2122461593,"401 57 STREET
MANHATTAN, NY 10019
(40.76798495999973, -73.98578683753328)"
SIDEWALK CAFE,835262,Unenclosed,84,"TARO REST, INC",DUE,THIRD AVENUE,1396 THIRD AVENUE,,10075,2122497070,"1396 THIRD AVENUE
NEW YORK, NY 10075
(40.77452192213532, -73.95713531657603)"
SIDEWALK CAFE,838821,Unenclosed,35,LA TRAVIATA CORP,LA TRAVIATA RESTAURANT,MONTAGUE STREET,139 MONTAGUE STREET,,11201,7188584100,"139 MONTAGUE STREET
BROOKLYN, NY 11201
(40.69469766790304, -73.99384577066294)"
SIDEWALK CAFE,851080,Unenclosed,180,"THE FUTABA CORPORATION, INC.",CHOSHI JAPANESE RESTAURANT,IRVING PLACE,77 IRVING PLACE,STORE #1 AND #2,10003,2124201419,"77 IRVING PLACE
NEW YORK, NY 10003
(40.73696665103033, -73.98664760572923)"
SIDEWALK CAFE,851262,Unenclosed,264,NEW BELLA LUNA INC,BELLA LUNA,COLUMBUS AVENUE,584 COLUMBUS AVENUE,,10024,2128772267,"584 COLUMBUS AVENUE
NEW YORK, NY 10024
(40.787941371886205, -73.97115359497411)"
SIDEWALK CAFE,851667,Enclosed,395,TOTORE PIZZERIA & RESTUARANT INC.,TOTORE PIZZERIA & RESTUARANT INC.,DITMARS BOULEVARD,36-20 DITMARS BOULEVARD,,11105,7189325924,"36 20 DITMARS BOULEVARD
ASTORIA, NY 11105
(40.780092072491186, -73.90960650023976)"
SIDEWALK CAFE,852766,Enclosed,142,LAMARCA INC,LAMARCA CHEESE SHOP,EAST   22 STREET,161 EAST   22 STREET,,10010,2126737920,"161 22 STREET
NEW YORK, NY 10010
(40.73858694753217, -73.98453842244564)"
SIDEWALK CAFE,853927,Unenclosed,443,THREE BEANS INC,BENNY'S BURRITOS,AVENUE A,93 AVENUE A,,10009,2122342054,"93 AVENUE
NEW YORK, NY 10009
(40.72664935898081, -73.97911148500697)"
SIDEWALK CAFE,855696,Unenclosed,175,FEENJON CORP,,MACDOUGAL STREET,103-105 MACDOUGAL STREET,,10012,2126746968,"103 105 MACDOUGAL STREET
NEW YORK, NY 10012
(40.72553802086304, -73.99789641059084)"
SIDEWALK CAFE,858542,Unenclosed,116,AREO RESTAURANT CORP,,3 AVENUE,8420 3 AVENUE,8424 3 AVE,11209,7182380079,"8420 3 AVENUE
BROOKLYN, NY 11209
(40.62486528874661, -74.0305295065066)"
